#   Step          Temp          Press            Lx             Ly             Lz             Xy             Xz             Yz      
    333000   300.97937     -84.263327      93.369911      38.047761      41.54975       0              0              0            
    334000   299.10992      449.65308      93.275127      38.009137      41.507571      0              0              0            
    335000   299.25251      4.0307021      93.375197      38.049915      41.552102      0              0              0            
    336000   297.96883     -842.16276      93.389624      38.055794      41.558522      0              0              0            
    337000   297.59126      2.6867711      93.302689      38.020368      41.519837      0              0              0            
    338000   300.69651      140.19748      93.397587      38.059039      41.562066      0              0              0            
    339000   298.08681     -577.15399      93.375065      38.049861      41.552044      0              0              0            
    340000   299.92131     -121.42061      93.259131      38.002619      41.500453      0              0              0            
    341000   299.57246     -234.04594      93.265414      38.005179      41.503249      0              0              0            
    342000   296.8048       543.89313      93.281785      38.01185       41.510534      0              0              0            
    343000   300.7216      -85.74978       93.402026      38.060848      41.564041      0              0              0            
    344000   300.20859     -830.51971      93.295113      38.017281      41.516465      0              0              0            
    345000   298.45514      327.94117      93.356255      38.042196      41.543673      0              0              0            
    346000   297.66507      579.03099      93.282879      38.012296      41.511021      0              0              0            
    347000   300.10547     -230.71671      93.306613      38.021967      41.521583      0              0              0            
    348000   301.39587     -828.12076      93.325674      38.029735      41.530065      0              0              0            
    349000   298.34199      74.381915      93.327136      38.03033       41.530715      0              0              0            
    350000   300.66498      789.3709       93.294417      38.016998      41.516155      0              0              0            
    351000   301.45724      320.30763      93.313227      38.024662      41.524526      0              0              0            
    352000   300.99134      1108.4381      93.25227       37.999823      41.4974        0              0              0            
    353000   300.61527      1061.1191      93.316629      38.026049      41.52604       0              0              0            
    354000   298.12226      1379.2354      93.275169      38.009154      41.50759       0              0              0            
    355000   302.98553      604.24916      93.352033      38.040476      41.541795      0              0              0            
    356000   296.77482      680.25905      93.318198      38.026688      41.526738      0              0              0            
    357000   299.09702     -528.35366      93.352778      38.040779      41.542126      0              0              0            
    358000   301.33859     -710.38853      93.307118      38.022173      41.521807      0              0              0            
    359000   301.18107      560.07082      93.308149      38.022593      41.522266      0              0              0            
    360000   298.61002     -246.1889       93.229175      37.990412      41.487122      0              0              0            
    361000   297.81333     -632.85969      93.30319       38.020572      41.520059      0              0              0            
    362000   295.5245       91.172276      93.24292       37.996013      41.493239      0              0              0            
    363000   300.77896      444.87626      93.292874      38.016369      41.515469      0              0              0            
    364000   300.03371      193.77813      93.329033      38.031103      41.531559      0              0              0            
    365000   301.70136     -136.21024      93.251453      37.99949       41.497036      0              0              0            
    366000   301.00513     -428.08189      93.332942      38.032696      41.533299      0              0              0            
    367000   300.92092     -817.60725      93.26489       38.004965      41.503016      0              0              0            
    368000   301.70918      190.92936      93.285521      38.013372      41.512197      0              0              0            
    369000   297.9811      -1330.1204      93.343711      38.037084      41.538091      0              0              0            
    370000   298.1263       18.02522       93.231883      37.991515      41.488327      0              0              0            
    371000   298.49813     -241.02638      93.336222      38.034033      41.534758      0              0              0            
    372000   303.53659     -950.41827      93.334624      38.033382      41.534048      0              0              0            
    373000   299.75184     -485.00082      93.376718      38.050535      41.55278       0              0              0            
    374000   299.03067     -177.0764       93.27363       38.008527      41.506905      0              0              0            
